问题,答案,分类,相似问题1,相似问题2,相似问题3
肠癌化疗恶心呕吐怎么办？,"【通俗版】化疗引起的恶心呕吐是可以预防的，别等吐了才处理。化疗前医院会打止吐针（昂丹司琼+地塞米松），自己还要准备意美（阿瑞匹坦）125mg化疗前吃。化疗后第2、3天继续吃意美+胃复安+维生素B6。如果还吐，可考虑奥氮平强力止吐。

【专业细节】奥沙利铂为中度致吐风险，氟尿嘧啶为低度致吐风险。止吐方案遵循CINV指南：化疗前用地塞米松（增食欲）+5-HT3受体拮抗剂（昂丹司琼/格拉司琼）+NK-1受体拮抗剂（阿瑞匹坦意美）。急性呕吐24小时内控制，迟发性呕吐持续至第3天。甲地孕酮640mg/日×2天→320mg×1天→160mg维持可改善食欲。",化疗副作用-恶心呕吐,化疗前吃什么止吐药？,意美怎么用？,奥沙利铂呕吐怎么办？
化疗腹泻怎么办？需要停药吗？,"【通俗版】伊立替康和氟尿嘧啶最容易引起腹泻。1级（<4次/天）可观察；2级（4-6次/天）要停药+吃整肠生+思密达；3级以上（≥7次/天或伴发热/血便）必须立即就医。水样便时要加用洛哌丁胺（易蒙停）1盒6粒。

【专业细节】化疗相关性腹泻（CID）国际抗癌协会分级：1级（<4次/天）、2级（4-6次/天）、3级（≥7次/天或失禁/腹痛影响日常活动）、4级（危及生命）、5级（死亡）。2级以上需停用化疗药物。预防：停用缓泻剂（乳果糖），避免刺激性食物。治疗：整肠生调节菌群+思密达保护黏膜，水样便加用洛哌丁胺首剂4mg后每2小时2mg至12小时。",化疗副作用-腹泻,伊立替康腹泻怎么处理？,化疗拉肚子要停药吗？,洛哌丁胺怎么用？
化疗白细胞低怎么办？什么时候打升白针？,"【通俗版】白细胞低是化疗常见副作用。0-2级（白细胞3-4）可吃地榆升白片或利可君；3-4级（白细胞<2）必须打升白针（瑞白短效或津优力长效）。注意：升白针要和化疗间隔24-48小时，别挨着用。

【专业细节】骨髓抑制WHO分级：0级（≥4×10⁹/L）、I级（3.9-3.0）、II级（2.9-2.0）、III级（1.9-1.0）、IV级（<1.0）。中性粒<1.5或白细胞<3需干预。短效升白针（瑞白）5-10μg/kg皮下注射，长效（津优力）100μg/kg每周期1次。效果排序：利可君=地榆<短效<长效。化疗前3天每3天查血常规，化疗后每7天查肝肾功能。",化疗副作用-骨髓抑制,中性粒细胞低怎么办？,瑞白和津优力哪个好？,升白针什么时候打？
奥沙利铂手脚麻木怎么办？,"【通俗版】奥沙利铂引起的神经毒性要预防为主！化疗期间戴手套穿袜子（最好一周），不碰冰冷东西（金属门把、冷水），温水洗漱，空调房别直吹。已经麻木可用热毛巾敷、按摩、吃甲钴胺营养神经。严重时要找神经内科。

【专业细节】奥沙利铂致急性和慢性周围神经病变。急性遇冷诱发，慢性为剂量累积性。预防：化疗期间严格避免冷刺激，戴棉手套/袜，门把手包海绵。缓解：热疗、按摩、甲钴胺500μg tid口服或1000μg肌注。严重者需减量（减少20%）或延长间歇期。与卡培他滨联用时神经毒性叠加，需密切监测。",化疗副作用-神经毒性,化疗手麻脚麻怎么处理？,奥沙利铂神经毒性怎么预防？,甲钴胺能止麻吗？
西妥昔单抗皮疹怎么处理？,"【通俗版】西妥昔单抗（爱必妥）容易引起皮疹和甲沟炎，但皮疹越重通常效果越好。1级皮疹外用克林霉素凝胶+弱激素；2级加口服米诺环素；3级必须暂停靶向药；4级永久停药。甲沟炎用苯扎氯胺+碘伏清洗，严重时口服抗生素。

【专业细节】抗EGFR单抗皮肤不良反应：丘疹脓疱型皮疹发生率>80%。1级（轻度）：外用克林霉素/红霉素/甲硝唑凝胶+弱效激素（丁酸氢化可的松）；2级：外用+口服米诺环素50mg bid或多西环素100mg bid≤6周；3级：暂停治疗+口服抗生素+激素；4级：永久停药。甲沟炎1级外用夫西地酸/酮康唑，2级+口服多西环素，3级暂停治疗。预防：温和清洁、pH中性产品、严格防晒SPF30+。",靶向药副作用-皮肤反应,爱必妥皮疹怎么办？,西妥昔单抗甲沟炎怎么处理？,靶向药皮疹分级处理？
卡培他滨手足综合征怎么办？,"【通俗版】卡培他滨容易引起手足综合征（手脚红肿脱皮疼痛）。预防：尿素手足霜、凡士林、维生素E软膏保湿；治疗：马油膏、隆力奇蛇油棒（足跟皲裂）。如果关节疼痛可用退热贴或口服芬必得/西乐葆止痛。

【专业细节】手足综合征（HFS）是卡培他滨剂量限制性毒性。预防：尿素软膏10-20%、凡士林、维生素E乳膏每日多次涂抹。治疗：局部保湿+止痛，严重者需减量（减少25-30%）或停药。与奥沙利铂联用（CapeOX方案）时发生率增加。皮肤皲裂需屏障修复（神经酰胺+透明质酸）。",化疗副作用-手足综合征,化疗手脚脱皮怎么办？,卡培他滨脚痛怎么处理？,手足综合征用什么药膏？
贝伐珠单抗出血怎么办？,"【通俗版】贝伐珠单抗（安维汀）容易引起出血。1级（少量鼻血、痰血）可继续用药+三七粉/云南白药；2级（明显出血）要暂停+止血后可继续；3级（严重出血）必须永久停药。用药期间要监测血压，>160/100mmHg要暂停贝伐。

【专业细节】贝伐珠单抗出血发生率20-60%，机制为抑制VEGF导致内皮功能障碍。1级：继续用药+局部止血（鼻腔涂三七粉/云南白药）；2级：暂停治疗+止血后可恢复；3级：永久停用。高血压发生率3-8%，>160/100mmHg暂停，目标<150/100mmHg，首选ACEI/ARB。蛋白尿≥2g/24h推迟治疗，4级永久停药。血栓栓塞：动脉血栓永久停用，静脉血栓抗凝稳定后可恢复。",靶向药副作用-出血,贝伐出血怎么处理？,安维汀鼻衄怎么办？,贝伐珠单抗高血压要停药吗？
化疗口腔溃疡怎么办？,"【通俗版】化疗期间口腔溃疡很常见。每日盐水漱口8-10次，用口腔溃疡专用牙膏刷牙，多吃新鲜蔬果（番茄、猕猴桃、圣女果）。治疗用氯己定漱口+康复新液+口腔溃疡散，维生素B碾碎漱口也有效，还可以用蜂胶贴片。

【专业细节】化疗相关口腔黏膜炎（CTOM）发生率约40%。预防：生理盐水/碳酸氢钠漱口8-10次/日，软毛牙刷，避免刺激性食物。治疗：氯己定含漱液抗菌+康复新液促进愈合+局部外用糖皮质激素（曲安奈德口腔软膏）。维生素B族（B2、B12、叶酸）缺乏会加重溃疡，需补充。严重疼痛可用利多卡因凝胶局部麻醉。",化疗副作用-口腔溃疡,化疗嘴巴烂怎么办？,口腔溃疡用什么漱口？,康复新液怎么用？
化疗期间牙龈肿痛吃什么药？,"【通俗版】化疗期间牙龈肿痛可用肿痛安（中成药）消肿定痛。但注意：化疗期间用药需先咨询医生，避免与化疗药相互作用。甲钴胺不治牙疼，它是营养神经的。如果疼痛明显，可短期用对乙酰氨基酚（扑热息痛）止痛，相对安全。

【专业细节】化疗相关牙龈肿痛可能为黏膜炎或感染。肿痛安为中成药（三七、天麻、僵蚕等），祛风化痰、消肿定痛，但与化疗药物相互作用数据缺乏，需谨慎。甲钴胺为维生素B12活性形式，用于周围神经病变，无止痛作用。止痛首选对乙酰氨基酚（肝功正常者），避免NSAIDs（出血风险）。严重感染需抗生素（阿莫西林克拉维酸钾）。",化疗副作用-牙龈肿痛,化疗牙疼能吃甲钴胺吗？,肿痛安和化疗药冲突吗？,化疗期间止痛药推荐？
化疗期间检查频率怎么安排？,"【通俗版】化疗期间要勤查血。前期化疗每3天查一次血常规，每7天查一次肝肾功能。用贝伐珠单抗前必须查24小时尿蛋白定量。出现白细胞<3、血小板<75、转氨酶>90要立即联系医生。

【专业细节】化疗监测方案：血常规前3周期每3天1次（骨髓抑制高发期），稳定后每7天1次；肝肾功能每7天1次；贝伐珠单抗用药前24小时尿蛋白定量，≥2g/24h推迟治疗，<2g/24h可继续。危险阈值：WBC<3×10⁹/L、NEUT<1.5×10⁹/L、PLT<75×10⁹/L、ALT/AST>90U/L、Cr明显升高。3-4级骨髓抑制需G-CSF干预。",化疗监测-检查频率,化疗多久查一次血？,贝伐用药前要查什么？,白细胞低到多少要打升白针？
