问题,答案,分类,相似问题1,相似问题2,相似问题3
什么是结直肠癌肝转移？发生率高吗？,"约一半肠癌患者会出现肝转移。癌细胞顺着血液先到肝脏'落脚'，这反而是'好事'——因为肝脏成了'拦截站'，给了我们治疗甚至治愈的机会。

【专业细节】肝脏是结直肠癌最主要的转移器官，约40-50%患者在确诊时或根治术后发生肝转移。由于肠道静脉回流经门静脉首先进入肝脏，肝脏成为转移的第一站（'first station'），这为拦截和治疗提供了机会。

💡 关键词：肝转移, 发生率, 第一站",肠癌肝转移,,,
肝转移还能手术吗？手术价值大吗？,"能！手术是治愈的最佳机会。切干净的患者5年生存率超40%，不切很难活过5年。即使复发，做过手术的也比没做的活得久。

【专业细节】手术切除是潜在治愈手段。研究显示完整切除原发灶和肝转移灶的患者5年生存率>40%，远高于未切除者。即使术后复发，手术也能显著延长生存期。

💡 关键词：手术切除, 5年生存率, 治愈",肠癌肝转移,肝转移能开刀吗？,肠癌转移到肝脏要不要手术？,肝转移手术效果怎么样？
为什么必须做普美显核磁？普通CT不行吗？,"普通CT看不清小病灶，会遗漏。普美显核磁是'顶配版'，能看到芝麻大的病灶（2mm）。术前找不全，手术就会漏切，术后很快复发。

【专业细节】增强CT和PET-CT对肝转移灶的分辨率有限，无法制定精准肝切除方案。普美显核磁（Gd-EOB-DTPA增强MRI）可检出<2mm病灶，是术前评估的金标准。推荐北大肿瘤医院、中山六院等影像质量顶尖的医院。

💡 关键词：普美显核磁, 增强MRI, 影像质量",肠癌肝转移,肝转移做什么检查最好？,普美显核磁有必要吗？,肝转移灶怎么检查清楚？
肝转移必须做基因检测吗？做哪种？,"必须做！一是看能用哪种靶向药，二是摸清肿瘤'脾气'。有钱做全套（500+基因，7千-1万8），省钱做基础版（2-3千，够95%的人用）。

【专业细节】所有肝转移患者均建议基因检测。目的：1）筛选靶向药物（如抗EGFR需RAS野生型）；2）明确分子分型指导策略。经济允许选大panel（500+基因，7k-1.8w），紧张选小panel（金域mini，2-3k，满足95%需求）。

💡 关键词：基因检测, RAS, BRAF, 靶向药",肠癌肝转移,肠癌肝转移要做基因检测吗？,RAS基因检测有什么用？,肝转移靶向药怎么选？
什么是转化治疗？适合谁？,"肿瘤太大太多切不了，先用药'打小'再切。国内9成患者都需要这一步。只有2-6个月机会，打不小了就很难再手术了。

【专业细节】转化治疗指初始不可切除患者，通过化疗±靶向±免疫治疗缩小肿瘤，争取手术切除。国内90%肝转移患者发现较晚需转化。窗口期通常2-6个月，超过6个月未转化成功则机会渺茫。KRAS/BRAF突变可用FOLFOXIRI+贝伐最强方案。

💡 关键词：转化治疗, 初始不可切除, FOLFOXIRI, 贝伐珠单抗",肠癌肝转移,肝转移化疗缩小后手术,初始不能手术的肝转移怎么办？,转化治疗是什么意思？
术前化疗把肿瘤化没了是好事吗？,"不是好事！化没的肿瘤8-9成还会再长。应该趁此机会手术扩大切除，争取根治，而不是以为'好了'。

【专业细节】否。化疗后影像学消失的病灶（complete radiological response）80-90%仍会复发，因残留微小病灶。策略应是手术扩大切除，而非庆祝'化没了'。

💡 关键词：化疗反应, 完全缓解, 手术切除",肠癌肝转移,,,
消融治疗和手术哪个好？,"小病灶（<3个、<3cm）消融和手术效果一样好，还少受罪。但病灶太多（>5个）别做消融，做不干净还耽误手术时机。

【专业细节】消融（射频/微波）是微创局部治疗，适合病灶<3个、<2-3cm、位置便于穿刺者，可达到与手术相当的根治效果。优势是保留肝体积。但>5个病灶消融效果差且易遗漏，错失手术机会。

💡 关键词：消融, 射频消融, 微创手术",肠癌肝转移,肝转移能开刀吗？,肠癌转移到肝脏要不要手术？,肝转移手术效果怎么样？
介入治疗（灌注/栓塞）有什么用？,"介入是'精准打击'肝脏：要么堵住血管饿死肿瘤，要么直接往肝里灌药。转化失败、术后易复发、肝上控制不住的可以考虑。但过程辛苦，得躺很久。

【专业细节】介入是局部治疗：栓塞阻断血供'饿死'肿瘤，灌注从肝动脉直接给药提高局部浓度。适用：1）化疗转化失败者尝试；2）术后高危复发者辅助HAI；3）全身稳定时加强肝控制。副作用：栓塞后疼痛，灌注需卧床8-9小时，输注5FU可达30小时，较辛苦。

💡 关键词：介入治疗, 肝动脉灌注, HAI, 栓塞",肠癌肝转移,肝动脉灌注化疗是什么？,TACE治疗肝转移有效吗？,介入治疗适合哪些肝转移患者？
哪些医院做肠癌肝转移手术最好？,"要找专门做肠癌肝转移的团队，别找只做肝癌的。推荐：北京（北大肿瘤邢宝才）、上海（复旦中山许剑民、复旦肿瘤徐烨）、广州（中山六院潘卫东、中山肿瘤陈功）。

【专业细节】需选择肠癌肝转移经验丰富的团队，而非仅做原发性肝癌者。推荐：北大肿瘤（邢宝才）、复旦中山（许剑民）、复旦肿瘤（徐烨）、中山六院（潘卫东）、中山肿瘤（陈功）、医科院肿瘤（王宏光）、华西（杨家印）等。

💡 关键词：医院选择, 专家推荐, MDT",肠癌肝转移,肝转移能开刀吗？,肠癌转移到肝脏要不要手术？,肝转移手术效果怎么样？
肝移植能治结直肠癌肝转移吗？,"还不成熟，全球做得很少。数据显示能活更久，但都会复发。国内天津一中心在尝试，算'最后的希望'。

【专业细节】有争议且应用极少。丹麦研究：移植组5年生存率56% vs 化疗9%，但所有患者2年内复发。目前属实验性治疗，国内天津一中心郭庆军主任有尝试。

💡 关键词：肝移植, 实验性治疗, 复发",肠癌肝转移,肝移植能治疗肠癌肝转移吗？,转移癌可以做肝移植吗？
